1655,132474.0497,397223.8450,2323.9733,2145,0,0,0,79,0,100
47,131431.1430,411449.9448,23886.9758,16714,0,654,0,6519,0,0
784,132412.1125,405342.2658,630.9928,389,29,0,0,0,0,212
264,131815.1915,409970.2847,4275.2009,892,0,1,0,3382,0,0
1427,132689.5435,399447.9659,423.2451,0,0,0,0,423,0,0
1577,132446.4905,397988.4961,639.9927,639,0,0,0,0,0,0
1188,133053.8881,401514.8953,38.4996,25,0,0,0,0,14,0
1165,133058.7589,401744.7368,1369.7343,209,0,0,0,0,788,373
1436,132672.7954,399359.5789,15367.5736,912,0,1476,0,12979,0,0
204,131572.5598,410399.5700,924.9894,294,0,0,0,631,0,0
1161,133059.3435,401784.7147,3531.4595,2290,0,0,59,0,252,931
1055,133006.6959,402835.1838,2397.4725,930,0,0,0,0,181,1286
1470,132627.3836,399023.1020,568.4935,200,0,0,6,363,0,0
119,131661.9187,411123.5931,1620.7314,1567,0,0,0,53,0,0
1486,132591.2094,398867.6041,1858.7287,1620,0,238,0,0,0,0
276,131829.0858,409869.2374,4311.2005,3438,0,439,0,434,0,0
885,132492.6207,404337.0686,14287.5860,1759,0,37,0,0,11607,884
1548,132435.9230,398272.4898,608.2430,608,0,0,0,0,0,0
1581,132457.0458,397949.9325,1869.7285,1676,0,193,0,0,0,0
1380,132780.8990,399905.7880,1571.9820,35,0,0,0,1536,0,0
846,132463.2042,404725.5900,7440.1646,4788,0,691,0,98,1611,252
818,132448.1240,405004.8674,18724.5350,15218,0,682,0,14,239,2571
1704,132950.5954,397110.9822,1202.4862,795,0,0,0,407,0,0
113,131654.7091,411183.0965,1757.7298,1756,0,0,0,1,0,0
258,131799.2800,410027.9321,3952.7046,525,0,0,0,3428,0,0
662,132029.3749,406497.5376,2770.7182,1971,0,85,0,0,174,540
649,131992.8698,406621.0896,7868.1597,1132,0,762,0,0,5407,567
337,131571.1990,409560.5657,28335.1747,24774,0,334,0,3226,0,0
103,131628.9792,411277.8278,1602.4816,82,0,598,0,922,0,0
230,131729.8241,410296.3911,3530.9595,384,0,10,0,3137,0,0
290,131714.0262,409893.3868,8436.1532,7805,0,631,0,0,0,0
1,131392.9562,411702.2989,1526.7325,0,0,43,0,1483,0,0
534,131861.5350,407754.9984,103.2488,103,0,0,0,0,0,0
1683,132746.8059,397161.1574,2588.4703,1997,0,0,0,490,47,55
1364,132804.9249,400063.7849,33.9996,0,0,0,0,34,0,0
1415,132726.3738,399560.3766,786.9910,93,0,1,0,692,0,0
1263,132825.7465,400976.5094,5654.6851,639,0,37,0,0,3428,1550
148,131687.2241,410834.8554,1247.4857,1235,0,0,0,13,0,0
411,131877.0161,408979.5056,975.7388,171,0,0,0,0,804,0
1070,133041.5489,402689.3826,7237.9169,4791,0,0,0,0,25,2421
311,131608.0382,409766.3135,22041.7470,18514,0,2012,0,1148,368,0
129,131671.6650,411024.1144,1778.9796,1740,0,0,0,39,0,0
504,131902.7892,408051.3676,2207.2247,554,0,0,0,0,1653,0
